timestamp,log_level,user_id,ip_address,endpoint,status_code,response_time,request_id,hour_of_the_day,day_of_the_week,is_error,good_status,good_response
2023-01-12T08:54:38.000Z,WARN,user_70488,10.171.151.182,/api/delete,736.0,2.523,a44e1b82-1c28-4840-a79e-5e65137c8e5d,8,Thursday,false,true,false
2024-01-10T07:45:49.000Z,ERROR,user_70489,10.4.59.112,/api/search,364.0,2.627,91603717-a689-44b4-abcf-382d92203c62,7,Wednesday,true,false,false
2025-04-07T08:15:46.000Z,DEBUG,user_70490,10.238.6.225,/api/delete,655.0,1.279,f1815202-9f86-4f62-8271-f62bcbb7e070,8,Monday,false,true,true
2024-01-29T02:25:59.000Z,DEBUG,user_70492,192.243.108.208,/api/register,425.0,1.29,f8b5e266-1a2a-42e8-b0d0-ce4c9e4b98f2,2,Monday,false,true,true
2024-01-30T08:05:11.000Z,ERROR,user_70493,10.156.242.82,/api/logout,483.0,2.523,053ba5d5-888f-4d5f-a973-41cbc9e28e37,8,Tuesday,true,true,false
2024-02-23T23:29:38.000Z,ERROR,user_70494,172.16.180.149,/api/logout,531.0,2.649,b69d0ace-cf7e-411f-922d-bfddc0b90000,23,Friday,true,true,false
2024-11-01T09:56:33.000Z,ERROR,user_70495,10.44.188.222,/api/search,390.0,3.844,3b800188-cb7d-4cc2-a173-f05ca6841ca6,9,Friday,true,false,false
2024-05-27T04:07:35.000Z,DEBUG,user_70496,10.41.35.12,/api/register,390.0,4.796,230662be-ae37-497e-b66a-b2983bf94a03,4,Monday,false,false,false
2024-02-16T09:31:25.000Z,ERROR,user_70498,172.221.126.254,/api/logout,390.0,2.523,ce582588-9b1c-40f2-b683-0d20c1c5d522,9,Friday,true,false,false
2024-04-19T20:45:38.000Z,ERROR,user_70499,192.88.236.109,/api/delete,665.0,1.059,1cd2beb2-a11a-4bac-88d4-c4a0eaa38cd9,20,Friday,true,true,true
2023-05-05T08:39:04.000Z,INFO,user_70500,10.54.82.129,/api/logout,392.0,1.708,77645e85-3494-44c6-bf21-6109022bdb48,8,Friday,false,false,true
2024-04-01T00:30:43.000Z,DEBUG,user_70501,10.35.249.222,/api/login,724.0,1.405,24ce9749-c7a8-4683-b4de-3133dd508455,0,Monday,false,true,true
2024-09-07T22:16:23.000Z,ERROR,user_70502,10.120.6.165,/api/update,740.0,3.522,fb268628-7498-44ea-a13e-d31643b1a8bb,22,Saturday,true,true,false
2024-06-11T09:56:11.000Z,DEBUG,user_70505,192.158.139.209,/api/login,390.0,3.793,c999754d-c5f9-409c-8026-ebac2aed6ea7,9,Tuesday,false,false,false
2024-12-05T20:38:44.000Z,INFO,user_70506,10.146.78.185,/api/delete,650.0,1.125,596e73b2-6fb6-4619-afd5-02fc4d34b9af,20,Thursday,false,true,true
2024-08-18T11:10:33.000Z,ERROR,user_70509,192.66.246.137,/api/delete,390.0,4.772,d3beb6c9-c659-42b5-b390-5b89d5c96b1a,11,Sunday,true,false,false
2023-11-17T20:07:22.000Z,DEBUG,user_70510,10.95.169.109,/api/update,335.0,0.713,68c487ec-83f7-4995-879d-056508b07918,20,Friday,false,false,true
2025-01-21T04:15:27.000Z,WARN,user_70512,10.105.194.161,/api/register,500.0,2.218,1de01ba8-bf85-4f6c-affd-94fb4429d777,4,Tuesday,false,true,false
2024-10-13T03:46:06.000Z,DEBUG,user_70514,172.103.52.92,/api/logout,544.0,1.181,a86b9ae1-c867-40e4-9271-4d456c98dddc,3,Sunday,false,true,true
2023-03-11T03:31:54.000Z,WARN,user_70516,10.111.131.220,/api/login,460.0,1.014,e9d1c484-baaf-4de6-b0cb-82188dad745a,3,Saturday,false,true,true
2023-08-26T08:01:01.000Z,DEBUG,user_70517,10.119.97.184,/api/logout,418.0,4.415,c06ce003-befe-45c2-8b87-2cac6802a0c1,8,Saturday,false,true,false
2023-08-10T05:47:01.000Z,DEBUG,user_70518,172.101.16.225,/api/delete,406.0,2.523,c5efa751-77e3-46dc-a594-649a64ecded7,5,Thursday,false,true,false
2024-07-26T03:10:58.000Z,ERROR,user_70520,10.239.122.151,/api/update,552.0,4.3,5b353b84-0b5a-4542-a731-8d9c47d16b46,3,Friday,true,true,false
2023-12-28T17:54:13.000Z,ERROR,user_70522,172.165.116.218,/api/delete,615.0,3.922,94119bc0-3afb-4e42-be60-76d9dc7744fe,17,Thursday,true,true,false
2023-04-22T04:20:27.000Z,INFO,user_70524,192.251.154.172,/api/search,165.0,3.17,06a52f16-8e63-4cfd-ac1d-d1c2e4f03c99,4,Saturday,false,false,false
2025-01-02T13:01:43.000Z,WARN,user_70525,192.165.171.165,/api/register,390.0,4.899,d463e72e-af1b-430e-be74-5d3133ee5674,13,Thursday,false,false,false
2023-05-08T15:56:06.000Z,INFO,user_70526,172.104.146.110,/api/logout,533.0,2.523,000ac411-6ea4-4c8e-b178-e6d0c9dedeea,15,Monday,false,true,false
