timestamp,log_level,user_id,ip_address,endpoint,status_code,response_time,request_id,hour_of_the_day,day_of_the_week,is_error,good_status,good_response
2024-07-12T14:13:50.000Z,INFO,user_33,172.58.64.36,/api/update,533.0,0.635,99a16c9a-79b3-4330-ba7a-6764762f17b3,14,Friday,false,true,true
2024-01-27T15:43:55.000Z,ERROR,user_54,192.230.216.107,/api/login,549.0,0.747,c0e0d521-6c5c-4888-b4ab-fde43c5df446,15,Saturday,true,true,true
2024-06-15T15:15:28.000Z,DEBUG,user_64,172.190.135.211,/api/logout,501.0,0.667,10b984a3-ac09-42a1-b51a-752a599e29fe,15,Saturday,false,true,true
2025-01-18T06:16:47.000Z,DEBUG,user_113,172.56.154.44,/api/login,739.0,0.691,167265b3-8a79-4d42-80f2-e4094debe5fe,6,Saturday,false,true,true
2023-06-28T20:36:46.000Z,ERROR,user_139,172.225.55.198,/api/delete,680.0,0.46,aee20c1f-555a-4d59-a4aa-b7b184e60642,20,Wednesday,true,true,true
2024-08-20T20:40:50.000Z,DEBUG,user_158,192.122.122.121,/api/update,587.0,0.718,a1f73617-3eaa-4a54-9f66-1c429e0bd6f6,20,Tuesday,false,true,true
2023-01-15T14:31:57.000Z,WARN,user_183,192.11.32.106,/api/delete,584.0,0.848,008fc2a9-7ac3-4819-8bc4-d9cc1f58767c,14,Sunday,false,true,true
2025-03-16T19:26:19.000Z,INFO,user_194,172.43.61.118,/api/register,710.0,0.108,5ddd47f7-33cd-4e32-8fb5-a46fc864fc5c,19,Sunday,false,true,true
2024-05-28T07:35:40.000Z,DEBUG,user_221,10.30.58.186,/api/login,648.0,0.193,98355b95-b703-4454-900d-7705c50babcd,7,Tuesday,false,true,true
2023-11-11T06:14:06.000Z,WARN,user_257,10.170.214.215,/api/login,640.0,0.233,9bd224e0-6b3c-4d06-9e51-e04a4a2ad835,6,Saturday,false,true,true
2024-01-12T08:48:48.000Z,WARN,user_269,10.1.163.204,/api/delete,665.0,0.983,a2125554-8cc3-4706-9ddc-91d1f007bf89,8,Friday,false,true,true
2024-05-06T16:57:30.000Z,WARN,user_296,192.220.115.65,/api/update,572.0,0.857,487038fc-f137-474f-a73d-61e97965d320,16,Monday,false,true,true
2023-02-20T20:01:27.000Z,INFO,user_305,10.201.235.94,/api/delete,543.0,0.422,78ac4166-bf31-4259-ac4a-f2713d2bc171,20,Monday,false,true,true
2024-04-29T11:16:23.000Z,DEBUG,user_324,10.12.242.229,/api/update,710.0,0.297,5310921b-b745-4e9e-870f-a07c514838a9,11,Monday,false,true,true
2024-07-05T18:11:22.000Z,INFO,user_343,10.0.21.63,/api/logout,539.0,0.608,958e5557-3cc0-40f8-b76f-3290e7c1069d,18,Friday,false,true,true
2023-06-14T04:33:56.000Z,ERROR,user_365,10.116.227.93,/api/update,564.0,0.62,8f99e4f9-84af-41a2-8075-5f6769e3aaf5,4,Wednesday,true,true,true
2024-01-09T01:59:20.000Z,DEBUG,user_377,172.139.121.125,/api/login,533.0,0.53,497eec0b-2a97-4e03-9126-5b1772511be8,1,Tuesday,false,true,true
2024-12-05T03:21:01.000Z,WARN,user_409,192.251.185.207,/api/search,731.0,0.534,002f817d-7480-491f-8830-3742e7ce0d2b,3,Thursday,false,true,true
2023-11-02T18:33:26.000Z,INFO,user_503,192.207.161.163,/api/logout,632.0,0.819,428cfac2-4031-4780-b228-f824c8fbfd1c,18,Thursday,false,true,true
2025-04-23T14:51:21.000Z,DEBUG,user_573,192.94.4.246,/api/logout,604.0,0.756,a74020aa-12f3-474a-bebb-15442e53013d,14,Wednesday,false,true,true
2024-09-04T09:44:15.000Z,INFO,user_601,192.17.219.31,/api/logout,629.0,0.337,070f7579-f751-4c77-a195-0889ba851b52,9,Wednesday,false,true,true
